timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-49,text,false,,834,0,78,78,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-49,text,false,,834,0,78,78,null,0,0,0
1642073209776,39390,HTTP Request CodeIgniter,200,OK,Thread Group 1-50,text,true,,311904,134,77,77,https://codeigniter.herebussiness.com/,12739,0,2794
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-50,text,false,,834,0,77,77,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-50,text,false,,834,0,77,77,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-50,text,false,,834,0,77,77,null,0,0,0
1642073210332,38983,HTTP Request CodeIgniter,200,OK,Thread Group 1-67,text,true,,311918,134,76,76,https://codeigniter.herebussiness.com/,10650,0,1404
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-67,text,false,,834,0,76,76,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-67,text,false,,834,0,76,76,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-67,text,false,,834,0,76,76,null,0,0,0
1642073210624,38952,HTTP Request CodeIgniter,200,OK,Thread Group 1-100,text,true,,311904,134,75,75,https://codeigniter.herebussiness.com/,6843,0,2147
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-100,text,false,,834,0,75,75,null,0,0,0
0,0,,Non HTTP response code: java.net.MalformedURLException,Non HTTP response message: Illegal character found in host: '/',Thread Group 1-100,text,false,,834,0,75,75,null,0,0,0
